Welk document ligt nog thuis?|Which document is still at home?|کدام مدرک هنوز در خانه است؟
Waarom kiest Tom een eerdere trein?|Why does Tom choose an earlier train?|چرا تام قطار زودتری انتخاب می‌کند؟
Hij wil meer overstaptijd.|He wants more time to change trains.|برای تعویض قطار وقت بیشتری می‌خواهد.
Hij wil zijn afspraak vroeger laten beginnen.|He wants his appointment to start earlier.|می‌خواهد قرارش زودتر شروع شود.
Hoi, Tom hier. Onze route vraagt twee treinen. Met de eerste planning is de overstap erg kort. Ik stel een eerdere eerste trein voor, zodat we meer overstaptijd hebben. De afspraak zelf blijft op hetzelfde uur. Kun je mee?|Hi, Tom here. Our route needs two trains. With the original plan the connection is very short. I suggest an earlier first train so we have more time to change. The appointment itself stays at the same time. Can you join me?|سلام، تام هستم. مسیر به دو قطار نیاز دارد. در برنامه اول زمان تعویض خیلی کم است. قطار اول را زودتر بگیریم تا برای تعویض وقت بیشتری باشد. ساعت خود قرار عوض نمی‌شود. می‌توانی بیایی؟
Dat lijkt me een goed idee. Met meer overstaptijd hoeven we minder te haasten. Stuur je mij de nieuwe vertrektijd? De afspraak zet ik niet vroeger.|That sounds good. More time to change means less rushing. Will you send me the new departure time? I will not move the appointment earlier.|ایده خوبی است. وقت بیشتر برای تعویض یعنی عجله کمتر. ساعت حرکت تازه را می‌فرستی؟ خود قرار را جلو نمی‌اندازم.

Wie verwittigt Sana over haar late aankomst?|Who does Sana notify about her late arrival?|سانا دیر رسیدنش را به چه کسی خبر می‌دهد؟
Het hotel.|The hotel.|هتل.
De taxichauffeur.|The taxi driver.|راننده تاکسی.
Goedenavond, Sana hier. Ik bel het hotel omdat mijn trein vertraging heeft. Ik kom later aan dan bij mijn reservatie staat. Wilt u mijn kamer bewaren en uitleggen hoe ik straks binnen kan komen?|Good evening, Sana speaking. I am calling the hotel because my train is delayed. I will arrive later than my reservation says. Could you keep my room and explain how I can get inside later?|عصر بخیر، سانا هستم. به هتل زنگ می‌زنم چون قطارم تأخیر دارد. دیرتر از زمان رزرو می‌رسم. اتاقم را نگه می‌دارید و توضیح می‌دهید بعداً چطور وارد شوم؟
Dank u om ons te verwittigen. Ik controleer uw reservatie en zoek de instructies voor een late aankomst op. Kunt u eerst uw naam nog eens spellen?|Thank you for notifying us. I will check your reservation and look up the instructions for a late arrival. Could you spell your name first?|ممنون که خبر دادید. رزروتان را بررسی می‌کنم و راهنمای ورود دیرهنگام را پیدا می‌کنم. ابتدا می‌توانید نامتان را هجی کنید؟

Waarvoor spreken de huisgenoten een rustig uur af?|What do the housemates arrange a quiet hour for?|هم‌خانه‌ها برای چه کاری یک ساعت آرام توافق می‌کنند؟
Voor een online examen.|For an online exam.|برای امتحان آنلاین.
Voor een repetitie.|For a rehearsal.|برای تمرین موسیقی.
Hoi allemaal, Noor hier. Mijn online examen duurt één uur. Het geluid uit de gang is in mijn slaapkamer goed te horen. Kunnen we voor dat uur stilte afspreken en de badkamerdeur zacht sluiten? Daarna kunnen jullie weer muziek oefenen.|Hi everyone, Noor here. My online exam lasts one hour. I can clearly hear corridor noise in my bedroom. Could we agree on quiet for that hour and close the bathroom door gently? Afterwards you can practise music again.|سلام به همه، نور هستم. امتحان آنلاینم یک ساعت طول می‌کشد. صدای راهرو را در اتاقم خوب می‌شنوم. می‌شود آن ساعت آرام باشیم و در حمام را آهسته ببندیم؟ بعد می‌توانید دوباره موسیقی تمرین کنید.
We houden het dat uur rustig en sluiten de deuren zacht. Stuur je de begin- en eindtijd? Dan plannen we de repetitie na je examen.|We will keep quiet for that hour and close doors gently. Could you send the start and end times? We will plan the rehearsal after your exam.|آن ساعت آرام می‌مانیم و درها را آهسته می‌بندیم. ساعت شروع و پایان را می‌فرستی؟ تمرین موسیقی را بعد از امتحانت می‌گذاریم.

Waar worden de extra stoelen gevonden?|Where are the extra chairs found?|صندلی‌های اضافه کجا پیدا می‌شوند؟
In de berging achter het terras.|In the storage room behind the terrace.|در انباری پشت تراس.
Op het balkon.|On the balcony.|روی بالکن.
Dag Ben, ik heb de stoelen gevonden. Ze staan in de berging achter het terras, niet op het balkon. We halen ze daar straks voor het etentje. Kun je een briefje op de deur hangen met hun vaste plaats?|Hi Ben, I found the chairs. They are in the storage room behind the terrace, not on the balcony. We will collect them for dinner later. Can you put a note on the door showing their usual place?|سلام بن، صندلی‌ها را پیدا کردم. در انباری پشت تراس‌اند، نه روی بالکن. برای شام از آنجا می‌آوریم. می‌توانی یادداشتی با محل ثابتشان روی در بچسبانی؟
Ja, ik schrijf op het briefje dat de stoelen in de berging achter het terras staan. Na het etentje zet ik ze daar weer terug.|Yes, I will write on the note that the chairs are in the storage room behind the terrace. After dinner I will return them there.|بله، روی یادداشت می‌نویسم صندلی‌ها در انباری پشت تراس‌اند. بعد از شام دوباره همان‌جا می‌گذارمشان.

Wat maakt het moeilijk om de zetel binnen te krijgen?|What makes it difficult to get the sofa inside?|چه چیزی داخل بردن مبل را سخت می‌کند؟
De zetel is te breed voor de deur.|The sofa is too wide for the door.|مبل برای در خیلی پهن است.
De kamer heeft geen plaats voor een tafel.|The room has no space for a table.|اتاق برای میز جا ندارد.
Hallo, Mila hier. De tweedehandszetel is te breed voor de deur. Volgens de handleiding kunnen de poten eraf. Ik wil eerst de doorgang meten en de instructies lezen. Kun je daarna helpen? We gaan niets forceren.|Hello, Mila here. The second-hand sofa is too wide for the door. The instructions say its legs can be removed. I want to measure the doorway and read the instructions first. Can you help afterwards? We will not force anything.|سلام، میلا هستم. مبل دست‌دوم برای در زیادی پهن است. راهنما می‌گوید پایه‌ها باز می‌شوند. اول می‌خواهم ورودی را اندازه بگیرم و راهنما را بخوانم. بعد کمک می‌کنی؟ چیزی را با زور جابه‌جا نمی‌کنیم.
Ik kan helpen nadat we de doorgang en de zetel gemeten hebben. Leg de handleiding klaar. Als het niet veilig lukt, zoeken we een andere oplossing.|I can help after we have measured the doorway and sofa. Have the instructions ready. If it cannot be done safely, we will find another solution.|بعد از اندازه گرفتن در و مبل می‌توانم کمک کنم. راهنما را آماده کن. اگر ایمن نشد، راه دیگری پیدا می‌کنیم.

Waarvoor gebruikt Youssef dezelfde tafel?|What does Youssef use the same table for?|یوسف از یک میز برای چه کارهایی استفاده می‌کند؟
Om te eten en te studeren.|For eating and studying.|برای غذا خوردن و درس خواندن.
Om te slapen en boeken op te bergen.|For sleeping and storing books.|برای خوابیدن و نگهداری کتاب.
Dag, Youssef hier. Mijn kamer is klein, dus ik wil één tafel gebruiken om te eten en te studeren. Voor de boeken zoek ik een smalle kast. Wil je mee naar de winkel? De doorgang moet vrij blijven.|Hello, Youssef here. My room is small, so I want to use one table for eating and studying. I am looking for a narrow bookcase. Will you come to the shop? The passage must stay clear.|سلام، یوسف هستم. اتاقم کوچک است و می‌خواهم یک میز برای غذا و درس داشته باشم. برای کتاب‌ها قفسه باریک می‌خواهم. با من به فروشگاه می‌آیی؟ راه عبور باید باز بماند.
Ik ga mee. Meet vooraf de vrije ruimte, zodat we een passende tafel en smalle kast kiezen. Eén tafel voor eten en studeren bespaart veel plaats.|I will come. Measure the available space first so we can choose a suitable table and narrow bookcase. One table for eating and studying saves space.|می‌آیم. اول فضای آزاد را اندازه بگیر تا میز مناسب و قفسه باریک انتخاب کنیم. یک میز برای غذا و درس خیلی جا صرفه‌جویی می‌کند.

Wat leent Ada van de buurvrouw?|What does Ada borrow from her neighbour?|آدا از همسایه چه چیزی قرض می‌گیرد؟
Een grote kookpot.|A large cooking pot.|قابلمه بزرگ.
Een koekenpan.|A frying pan.|ماهیتابه.
Dag buurvrouw, met Ada. We maken soep voor de buurt, maar ik heb alleen een pan en geen grote kookpot. Mag ik uw kookpot lenen? Ik breng hem na het koken afgewassen terug. Laat u weten of dat kan?|Hello neighbour, Ada speaking. We are making soup for the neighbourhood, but I only have a frying pan and no large pot. May I borrow yours? I will return it washed after cooking. Please let me know if that works.|سلام همسایه، آدا هستم. برای محله سوپ می‌پزیم، اما فقط ماهیتابه دارم و قابلمه بزرگ ندارم. می‌توانم قابلمه‌تان را قرض بگیرم؟ بعد از آشپزی شسته برمی‌گردانم. خبر می‌دهید ممکن است یا نه؟
Je mag mijn grote kookpot lenen. Kom hem gerust halen. Spreken we ook af wanneer je hem terugbrengt? Dan weet ik wanneer ik hem weer kan gebruiken.|You may borrow my large pot. Come and collect it. Shall we also agree when you will return it? Then I know when I can use it again.|می‌توانی قابلمه بزرگم را قرض بگیری. بیا بگیرش. زمان برگرداندن را هم مشخص کنیم؟ آن وقت می‌دانم چه زمانی دوباره می‌توانم استفاده کنم.

Waar ligt het vergiet?|Where is the colander?|آبکش کجاست؟
In de onderste kast achter de kommen.|In the bottom cupboard behind the bowls.|در کمد پایینی پشت کاسه‌ها.
Op de snijplank naast de pasta.|On the chopping board beside the pasta.|روی تخته برش کنار پاستا.
Hoi Lou, het vergiet ligt in de onderste kast, achter de kommen. Daarom kon je het niet zien. Zet het na het koken liever vooraan, want we gebruiken het vaak. Kun je ook aan de anderen vertellen waar het nu staat?|Hi Lou, the colander is in the bottom cupboard behind the bowls. That is why you could not see it. After cooking put it at the front because we use it often. Could you also tell the others where it is now?|سلام لو، آبکش در کمد پایینی پشت کاسه‌هاست. برای همین نمی‌دیدی. بعد از آشپزی جلوی کمد بگذار، چون زیاد استفاده می‌کنیم. به بقیه هم می‌گویی حالا کجاست؟
Ik heb het vergiet gevonden. Na het koken zet ik het vooraan in dezelfde kast. Ik laat de anderen weten dat het daar gemakkelijk bereikbaar is.|I found the colander. After cooking I will put it at the front of the same cupboard. I will tell the others it is easy to reach there.|آبکش را پیدا کردم. بعد از آشپزی جلوی همان کمد می‌گذارم. به بقیه می‌گویم که آنجا به‌راحتی در دسترس است.

Waar proeven de vrienden eerst de gember?|Where do the friends first taste the ginger?|دوستان اول زنجبیل را در چه چیزی می‌چشند؟
In een klein kommetje soep.|In a small bowl of soup.|در کاسه کوچکی سوپ.
In de hele kookpot tegelijk.|In the entire cooking pot at once.|یکباره در کل قابلمه.
Dag Sam, voeg de gember nog niet aan de hele pot toe. We proberen eerst een klein kommetje soep met gember. Als iedereen die smaak lekker vindt, doen we een beetje in de grote pot. Wil jij de proefportie maken?|Hi Sam, do not add ginger to the whole pot yet. We will first try a small bowl of soup with ginger. If everyone likes the taste, we will add a little to the large pot. Will you make the test portion?|سلام سم، هنوز زنجبیل را به کل قابلمه اضافه نکن. اول کاسه کوچکی سوپ با زنجبیل امتحان می‌کنیم. اگر همه طعمش را دوست داشتند، کمی به قابلمه بزرگ اضافه می‌کنیم. تو نمونه را درست می‌کنی؟
Ja, ik maak eerst een kleine proefportie. We proeven samen voordat ik de grote pot verander. Zo kan iedereen zeggen of de hoeveelheid gember goed is.|Yes, I will make a small test portion first. We will taste it together before I change the large pot. Everyone can say whether the amount of ginger is right.|بله، اول نمونه کوچکی درست می‌کنم. قبل از تغییر قابلمه بزرگ با هم می‌چشیم تا همه بگویند مقدار زنجبیل مناسب است یا نه.

Waarom zet Noor de kruiden apart?|Why does Noor serve the herbs separately?|چرا نور سبزی‌ها را جدا می‌گذارد؟
Een gast houdt niet van koriander.|A guest does not like coriander.|یکی از مهمانان گشنیز دوست ندارد.
De salade bevat nog geen olijfolie.|The salad has no olive oil yet.|سالاد هنوز روغن زیتون ندارد.
Hallo, met Noor. Een gast heeft gezegd dat hij koriander niet lust. Daarom meng ik die niet door de hele salade. De kruiden komen apart op tafel. Wil jij de gasten vertellen dat ze zelf mogen kiezen?|Hello, Noor speaking. A guest said he does not like coriander. I will therefore not mix it through the whole salad. The herbs will be separate on the table. Could you tell the guests they can choose for themselves?|سلام، نور هستم. مهمانی گفته گشنیز دوست ندارد. برای همین آن را در کل سالاد مخلوط نمی‌کنم. سبزی‌ها جدا روی میز می‌آیند. به مهمان‌ها می‌گویی خودشان انتخاب کنند؟
Ik vertel het aan de gasten. Ze kunnen koriander toevoegen als ze dat willen. Goed dat de salade zonder koriander blijft, zodat iedereen zelf kan kiezen.|I will tell the guests. They can add coriander if they want. It is good that the salad stays without coriander so everyone can choose.|به مهمان‌ها می‌گویم. اگر خواستند گشنیز اضافه کنند. خوب است سالاد بدون گشنیز می‌ماند تا هرکس خودش انتخاب کند.

Welke informatie noteert Eva bij elke klacht?|What information does Eva note for each symptom?|اوا کنار هر مشکل چه اطلاعاتی یادداشت می‌کند؟
Wanneer de klacht begon.|When it began.|زمان شروع آن.
Welke diagnose haar vriend vermoedt.|Which diagnosis her friend suspects.|بیماری‌ای که دوستش حدس می‌زند.
Dag, Eva hier. Voor mijn afspraak schrijf ik mijn klachten op, met de dag waarop elke klacht begon. Anders vergeet ik tijdens het gesprek veel. Wil je met mij controleren of mijn briefje duidelijk is? Je hoeft geen diagnose te geven.|Hello, Eva here. Before my appointment I am writing down my symptoms and the day each started. Otherwise I forget a lot during the conversation. Will you check whether my note is clear? You do not need to give a diagnosis.|سلام، اوا هستم. پیش از قرارم نشانه‌ها و روز شروع هرکدام را می‌نویسم، وگرنه موقع صحبت خیلی چیزها یادم می‌رود. بررسی می‌کنی یادداشتم روشن باشد؟ لازم نیست بیماری را تشخیص بدهی.
Ik lees graag je briefje. We controleren of de klachten en de begintijden duidelijk zijn. De medische vragen bewaar je voor de arts tijdens je afspraak.|I will read your note. We will check that the symptoms and starting times are clear. Keep the medical questions for the doctor at your appointment.|با میل یادداشتت را می‌خوانم. بررسی می‌کنیم نشانه‌ها و زمان شروع روشن باشند. سؤال‌های پزشکی را برای پزشک موقع ملاقات نگه دار.

Welke twee woorden verwarren de cursisten?|Which two words do the learners confuse?|زبان‌آموزان کدام دو واژه را اشتباه می‌گیرند؟
Vermoeidheid en jeuk.|Tiredness and itching.|خستگی و خارش.
Hoest en keelpijn.|Cough and sore throat.|سرفه و گلودرد.
Hoi taalpartner, ik haal vermoeidheid en jeuk nog door elkaar. Kunnen we beide betekenissen tekenen en elkaar vragen stellen? Daarna oefenen we een kort gesprek bij de dokter. Het gaat om de juiste woorden, niet om zelf een ziekte te raden.|Hi language partner, I still confuse tiredness and itching. Could we draw both meanings and ask each other questions? Then we can practise a short conversation at the doctor's. It is about the right words, not guessing a disease.|سلام همراه زبانی، هنوز خستگی و خارش را قاطی می‌کنم. می‌شود معنی هر دو را بکشیم و از هم سؤال کنیم؟ بعد گفت‌وگوی کوتاه پیش پزشک تمرین کنیم. هدف واژه درست است، نه حدس بیماری.
Goed idee. We vergelijken eerst de tekeningen van vermoeidheid en jeuk. Daarna stel ik een controlevraag, zodat je kunt uitleggen welk woord je bedoelt.|Good idea. We will compare the drawings of tiredness and itching first. Then I will ask a checking question so you can explain which word you mean.|ایده خوبی است. اول تصویر خستگی و خارش را مقایسه می‌کنیم. بعد سؤال بررسی می‌پرسم تا توضیح بدهی منظورت کدام واژه است.

Naar wie vraagt Bilal per ongeluk?|Whom does Bilal ask for by mistake?|بلال اشتباهی چه کسی را می‌خواهد؟
De tandarts.|The dentist.|دندان‌پزشک.
De oogarts.|The eye doctor.|چشم‌پزشک.
Goedendag, Bilal hier. Ik zei net tandarts, maar ik bedoelde huisarts. Sorry voor de verwarring. Kunt u controleren bij wie mijn afspraak staat en mij de juiste naam herhalen?|Hello, Bilal speaking. I just said dentist, but I meant family doctor. Sorry for the confusion. Could you check whom my appointment is with and repeat the correct name?|سلام، بلال هستم. الان گفتم دندان‌پزشک، اما منظورم پزشک عمومی بود. ببخشید که اشتباه شد. بررسی می‌کنید قرارم با چه کسی است و نام درست را تکرار می‌کنید؟
Geen probleem. Ik zoek uw afspraak op voordat we iets veranderen. Daarna herhaal ik de naam van de zorgverlener, zodat u de bevestiging kunt controleren.|No problem. I will look up your appointment before we change anything. Then I will repeat the professional's name so you can check the confirmation.|اشکالی ندارد. پیش از تغییر چیزی، قرارتان را پیدا می‌کنم. بعد نام متخصص را تکرار می‌کنم تا تأییدیه را بررسی کنید.

Wat noteert het gezin bij elke afspraak?|What does the family write down for each appointment?|خانواده برای هر ملاقات چه می‌نویسد؟
De naam en het adres.|The name and address.|نام و نشانی.
Alleen de naam van de arts.|Only the doctor's name.|فقط نام پزشک.
Dag, met de maatschappelijk werker. Zet bij elke afspraak zowel de naam als het adres in uw agenda. Dan hebt u één overzicht. Wilt u zelf de volgorde controleren en zeggen waar nog informatie ontbreekt?|Hello, this is the social worker. Put both the name and address for every appointment in your calendar. Then you have one overview. Could you check the order yourselves and say where information is missing?|سلام، مددکار اجتماعی هستم. برای هر ملاقات نام و نشانی را در تقویم بنویسید تا یک جدول داشته باشید. خودتان ترتیب را بررسی می‌کنید و می‌گویید کجا اطلاعات کم است؟
We zetten de namen en adressen bij elkaar. Daarna controleren we de volgorde als gezin. Als een adres ontbreekt, vragen we dat na voordat we vertrekken.|We will put the names and addresses together. Then we will check the order as a family. If an address is missing, we will ask before leaving.|نام‌ها و نشانی‌ها را کنار هم می‌گذاریم و خانوادگی ترتیب را بررسی می‌کنیم. اگر نشانی کم باشد، پیش از حرکت می‌پرسیم.

Wat doet Jan wanneer hij de lichaamsdelen door elkaar haalt?|What does Jan do when he confuses the body parts?|یان هنگام اشتباه گرفتن اندام‌ها چه می‌کند؟
Hij wijst naar zijn been.|He points to his leg.|به پایش اشاره می‌کند.
Hij wijst naar zijn hoofd.|He points to his head.|به سرش اشاره می‌کند.
Hoi Jan, op de tekening wees je naar je been terwijl je arm zei. Laten we samen arm, knie en enkel aanwijzen. Zeg ook links of rechts. Zo wordt je beschrijving in een oefengesprek duidelijker.|Hi Jan, you pointed to your leg in the picture while saying arm. Let us point to arm, knee and ankle together. Say left or right too. That will make your practice description clearer.|سلام یان، روی تصویر به پا اشاره کردی ولی گفتی بازو. با هم بازو، زانو و مچ پا را نشان بدهیم. چپ یا راست را هم بگو تا توضیحت در تمرین روشن‌تر شود.
Graag. Ik wees naar mijn been, maar gebruikte het verkeerde woord. Ik kijk nu goed naar de tekening en noem telkens het lichaamsdeel en de juiste kant.|Gladly. I pointed to my leg but used the wrong word. I will look carefully at the picture and name the body part and the correct side each time.|با میل. به پا اشاره کردم ولی واژه اشتباه گفتم. حالا تصویر را دقیق نگاه می‌کنم و هر بار اندام و سمت درست را می‌گویم.

Waarom maakt Lina een grotere tekening?|Why does Lina make a larger drawing?|چرا لینا تصویر بزرگ‌تری می‌کشد؟
Niet alle woorden passen bij de kleine tekening.|Not all the words fit beside the small drawing.|همه واژه‌ها کنار تصویر کوچک جا نمی‌شوند.
